# Keep/remove decisions for the :Docs Books pass (read by Resources/tools/books_inventory.py).
# <slug or WEB_BOOKS key><TAB>keep|remove<TAB>optional note. Chapter books by slug, web books by key.
aflpp-articles	keep	
unicorn-articles	keep	
fuzzing-101-libafl	keep	
abs	keep	
bootloader-articles	keep	
cryptopals	keep	
advanced-frida-8ksec	keep	
arm64-exploitation-8ksec	keep	
studyplan-pro-cpp	keep	
studyplan-dsa	keep	
decompilation-wiki	keep	
elf-series	keep	
emudev	keep	
exploit-dev-mcgarr	keep	
coding-for-ssds	keep	
fuzzing-made-easy	keep	
wtf-articles	keep	
fuzzingbook	keep	
snapshot-fuzzer	keep	
fuzzing-bitdefender	keep	
revers-hypervisor	keep	
rayanfam	keep	
intel-pt-articles	keep	
lazyfoo-sdl3	keep	
learncpp	keep	
makefile-tutorial	keep	
lwn-index	keep	
llvm-tutorial	keep	
kernel-internals	keep	
kernel-ctf	keep	
javascript-exploitation	keep	
learnopengl	keep	
kernel-labs	keep	
kernel-exploitation	keep	
namespaces-lwn	keep	
pcie-articles	keep	
page-cache	keep	
perf-ninja	keep	
perf-wiki	keep	
write-your-own-allocators	keep	
browser-engineering	keep	
binary-exploitation-dojo	keep	
game-networking	keep	
hpbn	keep	
linux-kernel-security	keep	
mie-8ksec	keep	
android-8ksec	keep	
ptrace-injection	keep	
testing-handbook	keep	
cgroups-lwn	keep	
syzkaller-articles	keep	
afl-under-the-hood	keep	
bashguide	keep	
c10k	keep	
jit-series	keep	
qemu-internals	keep	
lkmpg	keep	
software-foundations-lf	keep	
glibc-malloc	keep	
astra	keep	
slub	keep	
packer	keep	
heap-exploitation-dhaval-kapil	keep	
ir0nstone-binary-exploitation	keep	
linternals-sam4k	keep	
nightmare-binary-exploitation	keep	
linux-insides	keep	
build-your-own-docker	keep	CodeCrafters course
build-your-own-sqlite	keep	CodeCrafters course
build-your-own-git	keep	CodeCrafters course
atomics	remove	2026-09-22 pass, chunk 1
lyah	remove	2026-09-22 pass, chunk 1
write-you-a-haskell	remove	2026-09-22 pass, chunk 1
ocaml-byexample	remove	2026-09-22 pass, chunk 1
beautiful-racket	remove	2026-09-22 pass, chunk 1
cryptohack	remove	2026-09-22 pass, chunk 1
cmu-15411	remove	2026-09-22 pass, chunk 1
cmu-15445	remove	2026-09-22 pass, chunk 1
mit-shd	remove	2026-09-22 pass, chunk 1
mit-6824	remove	2026-09-22 pass, chunk 1
wisc-cs752	remove	2026-09-22 pass, chunk 2
awesome-databases	remove	2026-09-22 pass, chunk 2
sicp-js	remove	2026-09-22 pass, chunk 2
algs4	remove	2026-09-22 pass, chunk 2
v8-resources	remove	2026-09-22 pass, chunk 2
v8-docs	remove	2026-09-22 pass, chunk 2
javascript-info	keep	
writing-an-os-in-rust	keep	
algorithmica-hpc	keep	
bochs-docs	moved	moved out of Books; reached from the top-level Bochs entry
